Origin_airport,Destination_airport,Passengers,Seats,Distance,Destination_City,Origin_City
MHK,AMW,21,30,254,AMES,MANHATTAN
EUG,RDM,41,396,103,BEND,EUGENE
MFR,RDM,0,18,156,BEND,MEDFORD
SEA,RDM,8,18,228,BEND,SEATTLE
PDX,RDM,349,851,116,BEND,PORTLAND
LMT,RDM,139,396,147,BEND,KLAMATH FALLS
SFO,RDM,1413,2760,462,BEND,SAN FRANCISCO
LAX,RDM,1599,2992,726,BEND,LOS ANGELES
EAT,RDM,12,18,222,BEND,WENATCHEE
YKM,RDM,8,37,162,BEND,YAKIMA
EKO,RDM,113,119,362,BEND,ELKO
SLE,RDM,5,18,102,BEND,SALEM
GEG,RDM,2,18,291,BEND,SPOKANE
RDD,RDM,0,18,265,BEND,REDDING
LWS,RDM,12,18,249,BEND,LEWISTON
AST,RDM,6,18,187,BEND,ASTORIA
CLM,RDM,25,36,290,BEND,PORT ANGELES
PDT,RDM,2,18,151,BEND,PENDLETON
SJC,RDM,2347,2660,477,BEND,SAN JOSE
ACV,RDM,4,30,272,BEND,EUREKA
PUW,RDM,9,18,261,BEND,PULLMAN
SMF,RDM,14,69,384,BEND,SACRAMENTO
FLL,RDM,0,128,2601,BEND,FORT LAUDERDALE
PHX,RDM,80,120,893,BEND,PHOENIX
GGG,RDM,197,240,1643,BEND,LONGVIEW
GTF,RDM,0,120,522,BEND,GREAT FALLS
FAT,RDM,100,120,521,BEND,FRESNO
TUS,RDM,0,240,1003,BEND,TUCSON
MWH,RDM,62,120,222,BEND,MOSES LAKE
BIL,RDM,63,70,626,BEND,BILLINGS
DFW,RDM,0,50,1514,BEND,DALLAS
RBG,RDM,0,50,131,BEND,ROSEBURG
SLC,RDM,2340,3000,526,BEND,SALT LAKE CITY
CPR,RDM,38,120,742,BEND,CASPER
RDM,RDM,0,50,0,BEND,BEND
RNO,RDM,57,150,336,BEND,RENO
FBK,RDM,102,120,1750,BEND,FAIRBANKS
ANC,RDM,78,120,1658,BEND,ANCHORAGE
BIF,RDM,0,120,1172,BEND,EL PASO
CIC,RDM,0,30,310,BEND,CHICO
SAF,RDM,2,8,995,BEND,SANTA FE
ABQ,RDM,101,120,1000,BEND,ALBUQUERQUE
FSM,RDM,200,240,1544,BEND,FORT SMITH
LAS,RDM,819,1350,647,BEND,LAS VEGAS
ICT,RDM,100,120,1316,BEND,WICHITA
DLH,RDM,100,120,1408,BEND,DULUTH
CEC,RDM,0,30,231,BEND,CRESCENT CITY
OKC,RDM,100,120,1387,BEND,OKLAHOMA CITY
SAN,RDM,140,150,823,BEND,SAN DIEGO
STS,RDM,73,74,406,BEND,SANTA ROSA
DRO,RDM,0,50,856,BEND,DURANGO
OAK,RDM,68,70,454,BEND,OAKLAND
SJC,EKO,118,142,407,ELKO,SAN JOSE
YKM,EKO,118,119,462,ELKO,YAKIMA
IAH,EKO,112,119,1370,ELKO,HOUSTON
ELP,EKO,115,119,813,ELKO,EL PASO
DBQ,EKO,116,119,1299,ELKO,DUBUQUE
CPR,EKO,111,119,502,ELKO,CASPER
HLN,EKO,36,119,442,ELKO,HELENA
DFW,EKO,118,119,1170,ELKO,DALLAS
DLH,EKO,119,119,1245,ELKO,DULUTH
EUG,EKO,113,119,442,ELKO,EUGENE
FAT,EKO,116,119,350,ELKO,FRESNO
RDM,EKO,64,119,362,ELKO,BEND
TUL,EKO,118,119,1122,ELKO,TULSA
OMA,EKO,114,119,1037,ELKO,OMAHA
ACT,EKO,116,119,1212,ELKO,WACO
BTM,EKO,78,119,391,ELKO,BUTTE
AUS,EKO,107,119,1247,ELKO,AUSTIN
SLE,EKO,108,119,462,ELKO,SALEM
PIA,EKO,87,119,1365,ELKO,PEORIA
CWA,EKO,119,119,1350,ELKO,WAUSAU
TUS,EKO,49,119,658,ELKO,TUCSON
PUB,EKO,92,119,627,ELKO,PUEBLO
FOE,EKO,117,119,1075,ELKO,TOPEKA
COS,EKO,44,119,605,ELKO,COLORADO SPRINGS
OKC,EKO,236,238,1057,ELKO,OKLAHOMA CITY
CLM,EKO,118,119,631,ELKO,PORT ANGELES
GJT,EKO,76,119,404,ELKO,GRAND JUNCTION
SLC,EKO,109,119,200,ELKO,SALT LAKE CITY
LBF,EKO,77,119,789,ELKO,NORTH PLATTE
SPS,EKO,98,119,1059,ELKO,WICHITA FALLS
GEG,EKO,64,119,477,ELKO,SPOKANE
SEA,EKO,607,714,560,ELKO,SEATTLE
CYS,EKO,102,119,574,ELKO,CHEYENNE
ABR,EKO,70,119,932,ELKO,ABERDEEN
BRD,EKO,89,119,1148,ELKO,BRAINERD
AMA,EKO,110,119,858,ELKO,AMARILLO
BIL,EKO,42,119,501,ELKO,BILLINGS
ICT,EKO,117,119,1007,ELKO,WICHITA
ROW,EKO,45,119,809,ELKO,ROSWELL
BIS,EKO,119,119,855,ELKO,BISMARCK
MSO,EKO,90,119,429,ELKO,MISSOULA
GCC,EKO,57,119,577,ELKO,GILLETTE
LBB,EKO,65,119,913,ELKO,LUBBOCK
LBL,EKO,72,119,839,ELKO,LIBERAL
MAF,EKO,104,119,972,ELKO,MIDLAND
MSN,EKO,116,119,1366,ELKO,MADISON
LNK,EKO,119,119,995,ELKO,LINCOLN
MFR,EKO,62,119,382,ELKO,MEDFORD
PDX,EKO,162,238,475,ELKO,PORTLAND
ALO,EKO,119,119,1212,ELKO,WATERLOO
RFD,EKO,119,119,1382,ELKO,ROCKFORD
GRB,EKO,119,119,1425,ELKO,GREEN BAY
LSE,EKO,119,119,1269,ELKO,LA CROSSE
FCA,EKO,108,119,523,ELKO,KALISPELL
